state,Grocery,Health,Housing,Transportation,Utility,Region,Region Value
Missouri,94.8,89.9,77.2,90.3,97.7,Midwest,1
Montana,103,95.7,111.4,99.4,91.6,West,5
Nebraska,95.2,97.1,78.4,101.8,85.7,Midwest,1
Nevada,102.1,94.9,110.7,117.2,96.6,West,5
New Hampshire,102.3,120.6,109.8,113.6,130.2,Northeast,2
New Jersey,103.9,96.1,136.8,106.1,107.2,Northeast,2
New Mexico,96.7,99.6,87.5,93.5,93.2,Southwest,4
New York,103,104.5,173.3,106.7,102.5,Northeast,2
North Carolina,99,109.5,92.1,93.5,94.5,Southeast,3
North Dakota,94.6,111.6,84.3,101.4,101.8,Midwest,1
Ohio,100.9,96.5,80.1,97.7,97.2,Midwest,1
Oklahoma,93.8,91.8,68,92.3,98.2,Southwest,4
Oregon,107.6,101.4,139.9,113.6,94,West,5
Pennsylvania,100.9,96.7,89.9,108.2,105.9,Northeast,2
Rhode Island,100.5,107.4,114.6,98.9,109.7,Northeast,2
South Carolina,100.1,96.7,89.4,91.6,105.3,Southeast,3
South Dakota,98,97,93.9,93,87.9,Midwest,1
Tennessee,97.8,88.1,82.9,90,93.2,Southeast,3
Texas,94.8,94.1,84.2,92.6,105.7,Southwest,4
Utah,98.3,90.3,106.5,100.9,93.5,West,5
Vermont,103.1,106.2,131.4,115.6,120.8,Northeast,2
Virginia,100.6,102.6,107.7,96.5,103.6,Southeast,3
Washington,109.7,119.8,129.4,117.1,92.2,West,5
West Virginia,97.7,97,70.9,97.8,94.5,Southeast,3
Wisconsin,97.9,113.7,84.4,98.6,102.8,Midwest,1
Wyoming,102,98.6,80.7,95.6,85.7,West,5
