State	Spring(Avg ° C)	Summer(Avg ° C)	Fall(Avg ° C)	Winter(Avg ° C)
Alabama	16.9	25.9	17.6	8.1
Alaska	-4.1	11.3	-2.9	-16.3
Arizona	14.6	25.6	16.3	6.4
Arkansas	15.7	26	16.3	5.3
California	13.9	23	16.1	7.9
Colorado	6.5	18.4	7.7	-3.4
Connecticut	8.5	20.7	10.7	-1.9
Delaware	11.8	23.4	14.1	2.3
Florida	21.1	27.2	22.6	15.2
Georgia	17.3	25.9	18.1	8.8
Hawaii	20.3	22.3	22.1	19.7
Idaho	6.4	17.6	7.1	-3.7
Illinois	10.9	23	12.1	-2.1
Indiana	10.6	22.4	12.1	-1.4
Iowa	9	22	9.9	-5.7
Kansas	12	24.7	13	-0.1
Kentucky	12.8	23.6	13.9	2.2
Louisiana	19.1	27.3	19.7	10.5
Maine	3.9	17.6	6.8	-8.4
Maryland	11.6	22.9	13.4	1.5
Massachusetts	7.6	20	10.2	-2.6
Michigan	5.9	19	8.5	-5.7
Minnesota	5.5	19.3	6.4	-10.9
Mississippi	17.3	26.4	17.9	8.2
Missouri	12.4	24.1	13.3	0.2
Montana	5.8	17.9	6.1	-6
Nebraska	9	22.1	9.7	-3.5
Nevada	8.9	20.6	10.1	0.1
New Hampshire	5.8	18.6	7.9	-6.1
New Jersey	10.3	22.3	12.7	0.6
New Mexico	11.3	21.9	12.1	2.3
New York	6.4	19.2	8.9	-4.8
North Carolina	14.6	24.3	15.7	5.6
North Dakota	5.1	19.2	5.6	-11
Ohio	9.8	21.6	11.6	-1.4
Oklahoma	15.1	26.4	15.9	3.9
Oregon	8.3	17.6	9.4	1.1
Pennsylvania	8.6	20.3	10.5	-2
Rhode Island	8.3	20.4	11.7	-0.3
South Carolina	16.7	25.8	17.4	7.8
South Dakota	7.1	21.1	8	-6.9
Tennessee	14.1	24.2	14.8	3.9
Texas	18.4	27.3	18.6	8.8
Utah	8.6	20.9	9.5	-2.1
Vermont	5.3	18.4	7.6	-7
Virginia	12.3	22.9	13.6	2.7
Washington	8.7	17.7	9.2	0.6
West Virginia	10.5	21.2	11.8	0.4
Wisconsin	6.1	19.3	7.6	-8.2
Wyoming	4.9	17.5	5.8	-6
