State,Spring(Avg ° C),Summer(Avg ° C),Fall(Avg ° C),Winter(Avg ° C),Latitude,Longitude
Alabama,16.9,25.9,17.6,8.1,32.31823,-86.902298
Alaska,-4.1,11.3,-2.9,-16.3,66.160507,-153.369141
Arizona,14.6,25.6,16.3,6.4,34.048927,-111.093735
Arkansas,15.7,26,16.3,5.3,34.799999,-92.199997
California,13.9,23,16.1,7.9,36.778259,-119.417931
Colorado,6.5,18.4,7.7,-3.4,39.113014,-105.358887
Connecticut,8.5,20.7,10.7,-1.9,41.599998,-72.699997
Delaware,11.8,23.4,14.1,2.3,39,-75.5
Florida,21.1,27.2,22.6,15.2,27.994402,-81.760254
Georgia,17.3,25.9,18.1,8.8,33.247875,-83.441162
Hawaii,20.3,22.3,22.1,19.7,19.741755,-155.844437
Idaho,6.4,17.6,7.1,-3.7,44.068203,-114.742043
Illinois,10.9,23,12.1,-2.1,40,-89
Indiana,10.6,22.4,12.1,-1.4,40.273502,-86.126976
Iowa,9,22,9.9,-5.7,42.032974,-93.581543
Kansas,12,24.7,13,-0.1,38.5,-98
Kentucky,12.8,23.6,13.9,2.2,37.839333,-84.27002
Louisiana,19.1,27.3,19.7,10.5,30.39183,-92.329102
Maine,3.9,17.6,6.8,-8.4,45.367584,-68.972168
Maryland,11.6,22.9,13.4,1.5,39.045753,-76.641273
Massachusetts,7.6,20,10.2,-2.6,42.407211,-71.382439
Michigan,5.9,19,8.5,-5.7,44.182205,-84.506836
Minnesota,5.5,19.3,6.4,-10.9,46.39241,-94.63623
Mississippi,17.3,26.4,17.9,8.2,33,-90
Missouri,12.4,24.1,13.3,0.2,38.573936,-92.60376
Montana,5.8,17.9,6.1,-6,46.96526,-109.533691
Nebraska,9,22.1,9.7,-3.5,41.5,-100
Nevada,8.9,20.6,10.1,0.1,39.876019,-117.224121
New Hampshire,5.8,18.6,7.9,-6.1,44,-71.5
New Jersey,10.3,22.3,12.7,0.6,39.833851,-74.871826
New Mexico,11.3,21.9,12.1,2.3,34.307144,-106.018066
New York,6.4,19.2,8.9,-4.8,43,-75
North Carolina,14.6,24.3,15.7,5.6,35.782169,-80.793457
North Dakota,5.1,19.2,5.6,-11,47.650589,-100.437012
Ohio,9.8,21.6,11.6,-1.4,40.367474,-82.996216
Oklahoma,15.1,26.4,15.9,3.9,36.084621,-96.921387
Oregon,8.3,17.6,9.4,1.1,44,-120.5
Pennsylvania,8.6,20.3,10.5,-2,41.203323,-77.194527
Rhode Island,8.3,20.4,11.7,-0.3,41.742325,-71.742332
South Carolina,16.7,25.8,17.4,7.8,33.836082,-81.163727
South Dakota,7.1,21.1,8,-6.9,44.5,-100
Tennessee,14.1,24.2,14.8,3.9,35.860119,-86.660156
Texas,18.4,27.3,18.6,8.8,31,-100
Utah,8.6,20.9,9.5,-2.1,39.41922,-111.950684
Vermont,5.3,18.4,7.6,-7,44,-72.699997
Virginia,12.3,22.9,13.6,2.7,37.926868,-78.024902
Washington,8.7,17.7,9.2,0.6,47.751076,-120.740135
West Virginia,10.5,21.2,11.8,0.4,39,-80.5
Wisconsin,6.1,19.3,7.6,-8.2,44.5,-89.5
Wyoming,4.9,17.5,5.8,-6,43.07597,-107.290283
