state,2023_Population,Unemployment_rate_2023,Rate_per_100000,Latitude,Longitude
Alaska,732984,3.9,0.532071641,32.31823,-86.902298
Alabama,5098746,2.1,0.041186598,66.160507,-153.369141
Arizona,7453517,3.8,0.050982643,34.048927,-111.093735
Arkansas,3063152,2.7,0.0881445,34.799999,-92.199997
California,38915693,4.6,0.011820424,36.778259,-119.417931
Colorado,5868555,3.1,0.052823906,39.113014,-105.358887
Connecticut,3629055,3.6,0.099199378,41.599998,-72.699997
Delaware,1031985,4.1,0.397292596,39,-75.5
Florida,22661577,2.7,0.01191444,27.994402,-81.760254
Georgia,11037723,3.3,0.029897471,33.247875,-83.441162
Hawaii,1433238,2.8,0.195361831,19.741755,-155.844437
Idaho,1973752,3,0.151994779,44.068203,-114.742043
Illinois,12477595,4.1,0.032858896,40,-89
Indiana,6852542,3.4,0.049616624,40.273502,-86.126976
Iowa,3203345,2.9,0.090530367,42.032974,-93.581543
Kansas,2936378,2.7,0.091950015,38.5,-98
Kentucky,4518031,4,0.088534142,37.839333,-84.27002
Louisiana,4553384,3.3,0.072473571,30.39183,-92.329102
Maine,1393442,2.5,0.179411845,45.367584,-68.972168
Maryland,6154710,1.7,0.027621123,39.045753,-76.641273
Massachusetts,6974258,2.6,0.037279952,42.407211,-71.382439
Michigan,10030722,3.7,0.036886677,44.182205,-84.506836
Minnesota,5722897,3.1,0.05416837,46.39241,-94.63623
Mississippi,2930528,3.2,0.10919534,33,-90
Missouri,6186091,2.8,0.045262832,38.573936,-92.60376
Montana,1139507,2.5,0.219393124,46.96526,-109.533691
Nebraska,1972292,2,0.101404863,41.5,-100
Nevada,3209142,5.4,0.168269276,39.876019,-117.224121
New Hampshire,1402957,1.8,0.12830044,44,-71.5
New Jersey,9255437,4.2,0.045378733,39.833851,-74.871826
New Mexico,2110011,3.7,0.175354536,34.307144,-106.018066
New York,19496810,3.9,0.020003272,43,-75
North Carolina,10832061,3.3,0.030465116,35.782169,-80.793457
North Dakota,780588,1.9,0.243406253,47.650589,-100.437012
Ohio,11747774,3.4,0.028941653,40.367474,-82.996216
Oklahoma,4048375,2.8,0.069163553,36.084621,-96.921387
Oregon,4223973,3.4,0.080492939,44,-120.5
Pennsylvania,12931957,3.5,0.027064736,41.203323,-77.194527
Rhode Island,1090483,2.7,0.247596707,41.742325,-71.742332
South Carolina,5372002,3,0.055845102,33.836082,-81.163727
South Dakota,923484,1.9,0.205742601,44.5,-100
Tennessee,7134327,3.1,0.043451891,35.860119,-86.660156
Texas,30500280,4.1,0.0134425,31,-100
Utah,3422487,2.5,0.073046296,39.41922,-111.950684
Vermont,647156,1.8,0.278140047,44,-72.699997
Virginia,8709873,2.5,0.028703059,37.926868,-78.024902
Washington,7830827,3.6,0.045972156,47.751076,-120.740135
West Virginia,1764786,3.6,0.203990739,39,-80.5
Wisconsin,5904977,2.9,0.049111114,44.5,-89.5
Wyoming,583279,2.9,0.497189167,43.07597,-107.290283
