state,Grocery,Health,Housing,Transportation,Utility,Region,Region Value
Idaho,103.7,101.2,113.8,109.7,84.6,West,5
Illinois,97.5,95.4,78.3,102.4,90.9,Midwest,1
Indiana,98,98.9,77,95.7,105.4,Midwest,1
Iowa,96.8,99.7,72.4,100.6,94.5,Midwest,1
Kansas,96.8,97.1,69.4,88.3,107.5,Midwest,1
Kentucky,101.2,81.8,72.5,97.7,102.9,Southeast,3
Louisiana,95.1,97.9,84.7,97.2,85.3,Southeast,3
Maine,101.2,96.2,118.9,112.8,108,Northeast,2
Maryland,108.5,96.2,152.2,100.2,109.2,Northeast,2
Massachusetts,105,112.6,219.5,127.5,126.1,Northeast,2
Michigan,97.4,94,80.9,98.6,99.6,Midwest,1
Minnesota,97.2,111.5,82.3,99,91.5,Midwest,1
Mississippi,97.1,97.6,68.6,88.6,86.1,Southeast,3
