state,Grocery,Health,Housing,Transportation,Utility,Region,Region Value
Alabama,96.4,86.9,70.4,92,103.6,Southeast,3
Alaska,127.4,149.8,118.1,121.9,148.1,West,5
Arizona,101.8,93.5,125.3,99.2,94.3,Southwest,4
Arkansas,95.4,87.2,76.3,92.2,91.8,Southeast,3
California,112.3,106.4,186.5,124.1,124.8,West,5
Colorado,100.6,102,116.1,107.4,90.9,West,5
Connecticut,99.8,109.7,122.7,102.6,122.3,Northeast,2
Delaware,103,104.3,99.7,109.5,97.8,Northeast,2
District of Columbia,106.9,104.7,241.8,107.9,110.2,Northeast,2
Florida,100.1,96.3,110.5,99.8,96.7,Southeast,3
Georgia,98.9,101.4,78.5,94.5,84.4,Southeast,3
Hawaii,125.6,118.4,309.7,140.3,141.1,West,5
Idaho,103.7,101.2,113.8,109.7,84.6,West,5
Illinois,97.5,95.4,78.3,102.4,90.9,Midwest,1
Indiana,98,98.9,77,95.7,105.4,Midwest,1
Iowa,96.8,99.7,72.4,100.6,94.5,Midwest,1
Kansas,96.8,97.1,69.4,88.3,107.5,Midwest,1
Kentucky,101.2,81.8,72.5,97.7,102.9,Southeast,3
Louisiana,95.1,97.9,84.7,97.2,85.3,Southeast,3
Maine,101.2,96.2,118.9,112.8,108,Northeast,2
Maryland,108.5,96.2,152.2,100.2,109.2,Northeast,2
Massachusetts,105,112.6,219.5,127.5,126.1,Northeast,2
Michigan,97.4,94,80.9,98.6,99.6,Midwest,1
Minnesota,97.2,111.5,82.3,99,91.5,Midwest,1
Mississippi,97.1,97.6,68.6,88.6,86.1,Southeast,3
Missouri,94.8,89.9,77.2,90.3,97.7,Midwest,1
Montana,103,95.7,111.4,99.4,91.6,West,5
Nebraska,95.2,97.1,78.4,101.8,85.7,Midwest,1
Nevada,102.1,94.9,110.7,117.2,96.6,West,5
New Hampshire,102.3,120.6,109.8,113.6,130.2,Northeast,2
New Jersey,103.9,96.1,136.8,106.1,107.2,Northeast,2
New Mexico,96.7,99.6,87.5,93.5,93.2,Southwest,4
New York,103,104.5,173.3,106.7,102.5,Northeast,2
North Carolina,99,109.5,92.1,93.5,94.5,Southeast,3
North Dakota,94.6,111.6,84.3,101.4,101.8,Midwest,1
Ohio,100.9,96.5,80.1,97.7,97.2,Midwest,1
Oklahoma,93.8,91.8,68,92.3,98.2,Southwest,4
Oregon,107.6,101.4,139.9,113.6,94,West,5
Pennsylvania,100.9,96.7,89.9,108.2,105.9,Northeast,2
Rhode Island,100.5,107.4,114.6,98.9,109.7,Northeast,2
South Carolina,100.1,96.7,89.4,91.6,105.3,Southeast,3
South Dakota,98,97,93.9,93,87.9,Midwest,1
Tennessee,97.8,88.1,82.9,90,93.2,Southeast,3
Texas,94.8,94.1,84.2,92.6,105.7,Southwest,4
Utah,98.3,90.3,106.5,100.9,93.5,West,5
Vermont,103.1,106.2,131.4,115.6,120.8,Northeast,2
Virginia,100.6,102.6,107.7,96.5,103.6,Southeast,3
Washington,109.7,119.8,129.4,117.1,92.2,West,5
West Virginia,97.7,97,70.9,97.8,94.5,Southeast,3
Wisconsin,97.9,113.7,84.4,98.6,102.8,Midwest,1
Wyoming,102,98.6,80.7,95.6,85.7,West,5
